"rules","support","confidence","coverage","lift","count"
"{frozen vegetables} => {whole milk}",0.0204372140315201,0.424947145877378,0.0480935434672089,1.66309398316913,201
"{whole milk} => {frozen vegetables}",0.0204372140315201,0.0799840827695981,0.255516014234875,1.66309398316913,201
"{beef} => {whole milk}",0.0212506354855109,0.405038759689922,0.0524656837824098,1.58517954697588,209
"{whole milk} => {beef}",0.0212506354855109,0.0831675288499801,0.255516014234875,1.58517954697588,209
"{curd} => {whole milk}",0.026131164209456,0.490458015267176,0.0532791052364006,1.91948053328797,257
"{whole milk} => {curd}",0.026131164209456,0.102268205332272,0.255516014234875,1.91948053328797,257
"{pork} => {other vegetables}",0.0216573462125064,0.375661375661376,0.0576512455516014,1.94147642124521,213
"{other vegetables} => {pork}",0.0216573462125064,0.111928533893852,0.193492628368073,1.94147642124521,213
"{pork} => {whole milk}",0.0221657346212506,0.384479717813051,0.0576512455516014,1.5047186727781,218
"{whole milk} => {pork}",0.0221657346212506,0.0867489056904099,0.255516014234875,1.5047186727781,218
"{frankfurter} => {whole milk}",0.0205388917132689,0.348275862068965,0.0589730554143366,1.36302948804149,202
"{whole milk} => {frankfurter}",0.0205388917132689,0.0803820135296458,0.255516014234875,1.36302948804149,202
"{bottled beer} => {whole milk}",0.0204372140315201,0.253787878787879,0.0805287239450941,0.993236684392673,201
"{whole milk} => {bottled beer}",0.0204372140315201,0.0799840827695981,0.255516014234875,0.993236684392673,201
"{brown bread} => {whole milk}",0.0252160650737163,0.38871473354232,0.0648703609557702,1.5212930379581,248
"{whole milk} => {brown bread}",0.0252160650737163,0.0986868284918424,0.255516014234875,1.5212930379581,248
"{margarine} => {whole milk}",0.0241992882562278,0.413194444444444,0.0585663446873411,1.61709803466419,238
"{whole milk} => {margarine}",0.0241992882562278,0.0947075208913649,0.255516014234875,1.61709803466419,238
"{butter} => {other vegetables}",0.0200305033045247,0.361467889908257,0.0554143365531266,1.86812227916327,197
"{other vegetables} => {butter}",0.0200305033045247,0.103520756699947,0.193492628368073,1.86812227916327,197
"{butter} => {whole milk}",0.02755465175394,0.497247706422018,0.0554143365531266,1.94605300145665,271
"{whole milk} => {butter}",0.02755465175394,0.107839235972941,0.255516014234875,1.94605300145665,271
"{newspapers} => {whole milk}",0.0273512963904423,0.342675159235669,0.0798169801728521,1.34111030285826,269
"{whole milk} => {newspapers}",0.0273512963904423,0.107043374452845,0.255516014234875,1.34111030285826,269
"{domestic eggs} => {other vegetables}",0.0222674123029995,0.350961538461538,0.0634468734112862,1.81382382068798,219
"{other vegetables} => {domestic eggs}",0.0222674123029995,0.115081450341566,0.193492628368073,1.81382382068798,219
"{domestic eggs} => {whole milk}",0.0299949161159126,0.47275641025641,0.0634468734112862,1.85020266409542,295
"{whole milk} => {domestic eggs}",0.0299949161159126,0.117389574214087,0.255516014234875,1.85020266409542,295
"{fruit/vegetable juice} => {other vegetables}",0.0210472801220132,0.291139240506329,0.0722928317234367,1.50465287986324,207
"{other vegetables} => {fruit/vegetable juice}",0.0210472801220132,0.108775617446138,0.193492628368073,1.50465287986324,207
"{fruit/vegetable juice} => {whole milk}",0.0266395526182003,0.368495077355837,0.0722928317234367,1.44216040023663,262
"{whole milk} => {fruit/vegetable juice}",0.0266395526182003,0.104257859132511,0.255516014234875,1.44216040023663,262
"{whipped/sour cream} => {yogurt}",0.0207422470767667,0.28936170212766,0.0716827656329436,2.07425097698654,204
"{yogurt} => {whipped/sour cream}",0.0207422470767667,0.14868804664723,0.139501779359431,2.07425097698654,204
"{whipped/sour cream} => {other vegetables}",0.0288764616166751,0.402836879432624,0.0716827656329436,2.08192365171827,284
"{other vegetables} => {whipped/sour cream}",0.0288764616166751,0.149238045191802,0.193492628368073,2.08192365171826,284
"{whipped/sour cream} => {whole milk}",0.0322318251143874,0.449645390070922,0.0716827656329436,1.75975424247812,317
"{whole milk} => {whipped/sour cream}",0.0322318251143874,0.126144050935137,0.255516014234875,1.75975424247812,317
"{pip fruit} => {tropical fruit}",0.0204372140315201,0.270161290322581,0.075648195221149,2.57464756814204,201
"{tropical fruit} => {pip fruit}",0.0204372140315201,0.194767441860465,0.10493136756482,2.57464756814204,201
"{pip fruit} => {other vegetables}",0.026131164209456,0.345430107526882,0.0756481952211489,1.78523652523746,257
"{other vegetables} => {pip fruit}",0.026131164209456,0.135049921177089,0.193492628368073,1.78523652523746,257
"{pip fruit} => {whole milk}",0.0300965937976614,0.397849462365591,0.075648195221149,1.55704316051158,296
"{whole milk} => {pip fruit}",0.0300965937976614,0.117787504974134,0.255516014234875,1.55704316051158,296
"{pastry} => {soda}",0.0210472801220132,0.236571428571429,0.0889679715302491,1.35666472303207,207
