"Id" "Sexo" "Estad_Civil" "Ingreso_mensual_cliente" "N_llamada_recib" "N_recargas" "Tot_Min_consum" "N_mens_tex_env" "N_llamadas_realiz" "Antig_cliente_meses" "N_reclamos"
"1" 1 "Masculino" "Casado" 3504 18 8 307 17 12 70 1
"2" 2 "Femenino" "Soltero" 3693 15 8 350 35 12 70 1
"3" 3 "Masculino" "Soltero" 3436 18 8 318 29 11 70 1
"4" 4 "Masculino" "Casado" 3433 16 8 304 29 12 70 1
"5" 5 "Masculino" "Soltero" 3449 17 8 302 24 10 70 1
"6" 6 "Femenino" "Casado" 4341 15 8 429 42 10 70 1
"7" 7 "Masculino" "Soltero" 4354 14 8 454 47 9 70 1
"8" 8 "Masculino" "Soltero" 4312 14 8 440 46 8 70 1
"9" 9 "Masculino" "Soltero" 4425 14 8 455 48 10 70 1
"10" 10 "Femenino" "Casado" 3850 15 8 390 40 8 70 1
"11" 11 "Masculino" "Casado" 3563 15 8 383 37 10 70 1
"12" 12 "Masculino" "Soltero" 3609 14 8 340 34 8 70 1
"13" 13 "Femenino" "Casado" 3761 15 8 400 29 10 70 1
"14" 14 "Masculino" "Soltero" 3086 14 8 455 48 10 70 1
"15" 15 "Femenino" "Casado" 2372 24 4 113 91 15 70 3
"16" 16 "Femenino" "Casado" 2833 22 6 198 91 16 70 1
"17" 17 "Femenino" "Casado" 2774 18 6 199 93 16 70 1
"18" 18 "Masculino" "Casado" 2587 21 6 200 81 16 70 1
"19" 19 "Masculino" "Casado" 2130 27 4 97 84 14 70 3
"20" 20 "Masculino" "Casado" 1835 26 4 97 50 20 70 2
"21" 21 "Masculino" "Casado" 2672 25 4 110 83 18 70 2
"22" 22 "Masculino" "Casado" 2430 24 4 107 86 14 70 2
"23" 23 "Masculino" "Soltero" 2375 25 4 104 91 18 70 2
"24" 24 "Masculino" "Soltero" 2234 26 4 121 10 12 70 2
"25" 25 "Masculino" "Casado" 2648 21 6 199 86 15 70 1
"26" 26 "Masculino" "Casado" 4615 10 8 360 46 14 70 1
"27" 27 "Femenino" "Casado" 4376 10 8 307 43 15 70 1
"28" 28 "Masculino" "Casado" 4382 11 8 318 45 14 70 1
"29" 29 "Masculino" "Casado" 4732 9 8 304 41 18 70 1
"30" 30 "Masculino" "Casado" 2130 27 4 97 84 14 71 3
"31" 31 "Masculino" "Casado" 2264 28 4 140 86 16 71 1
"32" 32 "Femenino" "Casado" 2228 25 4 113 91 14 71 3
"33" 33 "Masculino" "Casado" 2046 25 4 98 1 19 71 1
"34" 34 "Femenino" "Casado" 2634 19 6 232 2 13 71 1
"35" 35 "Femenino" "Casado" 3439 16 6 225 5 16 71 1
"36" 36 "Masculino" "Casado" 3329 17 6 250 2 16 71 1
"37" 37 "Femenino" "Casado" 3302 19 6 250 84 16 71 1
"38" 38 "Masculino" "Casado" 3288 18 6 232 2 16 71 1
"39" 39 "Femenino" "Casado" 4209 14 8 350 35 12 71 1
"40" 40 "Femenino" "Casado" 4464 14 8 400 38 12 71 1
"41" 41 "Masculino" "Soltero" 4154 14 8 351 31 14 71 1
"42" 42 "Femenino" "Casado" 4096 14 8 318 29 13 71 1
"43" 43 "Masculino" "Casado" 4955 12 8 383 39 12 71 1
"44" 44 "Femenino" "Soltero" 4746 13 8 400 37 12 71 1
"45" 45 "Masculino" "Casado" 5140 13 8 400 38 12 71 1
"46" 46 "Masculino" "Casado" 2962 18 6 258 8 14 71 1
"47" 47 "Masculino" "Casado" 2408 22 4 140 69 19 71 1
"48" 48 "Femenino" "Soltero" 3282 19 6 250 2 15 71 1
"49" 49 "Masculino" "Soltero" 3139 18 6 250 84 14 71 1
"50" 50 "Masculino" "Casado" 2220 23 4 122 82 14 71 1
"51" 51 "Masculino" "Casado" 2123 28 4 116 86 14 71 2
"52" 52 "Femenino" "Casado" 2074 30 4 79 67 20 71 2
"53" 53 "Masculino" "Soltero" 2065 30 4 88 72 14 71 2
"54" 54 "Masculino" "Casado" 1773 31 4 71 62 19 71 3
"55" 55 "Femenino" "Casado" 1613 35 4 72 66 18 71 3
"56" 56 "Masculino" "Casado" 1834 27 4 97 57 19 71 2
"57" 57 "Masculino" "Casado" 1955 26 4 91 67 20 71 1
"58" 58 "Femenino" "Casado" 2278 24 4 113 91 16 72 3
"59" 59 "Masculino" "Casado" 2126 25 4 97.5 76 17 72 1
"60" 60 "Femenino" "Soltero" 2254 23 4 97 55 24 72 2
"61" 61 "Femenino" "Casado" 2408 20 4 140 86 20 72 1
"62" 62 "Masculino" "Casado" 2226 21 4 122 82 16 72 1
"63" 63 "Femenino" "Casado" 4274 13 8 350 35 12 72 1
"64" 64 "Masculino" "Casado" 4385 14 8 400 38 12 72 1
"65" 65 "Femenino" "Casado" 4135 15 8 318 29 14 72 1
"66" 66 "Masculino" "Casado" 4129 14 8 351 31 13 72 1
"67" 67 "Masculino" "Casado" 3672 17 8 304 29 12 72 1
"68" 68 "Masculino" "Casado" 4633 11 8 429 44 11 72 1
"69" 69 "Masculino" "Casado" 4502 13 8 350 32 14 72 1
"70" 70 "Masculino" "Soltero" 4456 12 8 350 34 14 72 1
"71" 71 "Masculino" "Casado" 4422 13 8 400 40 12 72 1
"72" 72 "Masculino" "Soltero" 2330 19 3 70 93 14 72 3
"73" 73 "Masculino" "Casado" 3892 15 8 304 29 12 72 1
