,Y,Cuenta,Mes,Ppag,Uso,DM,Sexo,Estc
1,buen,no,18.0,"pre buen pagador",privado,1049.0,mujer,"vive solo"
2,buen,no,9.0,"pre buen pagador",profesional,2799.0,hombre,"no vive solo"
3,buen,"bad running",12.0,"pre buen pagador",profesional,841.0,mujer,"vive solo"
4,buen,no,12.0,"pre buen pagador",profesional,2122.0,hombre,"no vive solo"
5,buen,no,12.0,"pre buen pagador",profesional,2171.0,hombre,"no vive solo"
6,buen,no,10.0,"pre buen pagador",profesional,2241.0,hombre,"no vive solo"
7,buen,no,8.0,"pre buen pagador",profesional,3398.0,hombre,"no vive solo"
8,buen,no,6.0,"pre buen pagador",profesional,1361.0,hombre,"no vive solo"
9,buen,"good running",18.0,"pre buen pagador",privado,1098.0,mujer,"vive solo"
10,buen,"bad running",24.0,"pre buen pagador",privado,3758.0,mujer,"vive solo"
11,buen,no,11.0,"pre buen pagador",profesional,3905.0,hombre,"no vive solo"
12,buen,no,30.0,"pre buen pagador",privado,6187.0,mujer,"no vive solo"
13,buen,no,6.0,"pre buen pagador",privado,1957.0,mujer,"vive solo"
14,buen,"bad running",48.0,"pre buen pagador",profesional,7582.0,hombre,"no vive solo"
15,buen,no,18.0,"pre buen pagador",privado,1936.0,mujer,"no vive solo"
16,buen,no,6.0,"pre buen pagador",privado,2647.0,hombre,"no vive solo"
17,buen,no,11.0,"pre buen pagador",profesional,3939.0,hombre,"no vive solo"
18,buen,"bad running",18.0,"pre buen pagador",privado,3213.0,mujer,"no vive solo"
19,buen,"bad running",36.0,"pre buen pagador",privado,2337.0,hombre,"no vive solo"
20,buen,"good running",11.0,"pre buen pagador",profesional,7228.0,hombre,"no vive solo"
21,buen,no,6.0,"pre buen pagador",profesional,3676.0,hombre,"no vive solo"
22,buen,"bad running",12.0,"pre buen pagador",profesional,3124.0,hombre,"no vive solo"
23,mal,"bad running",36.0,"pre buen pagador",privado,2384.0,hombre,"no vive solo"
24,buen,"bad running",12.0,"pre buen pagador",privado,1424.0,hombre,"no vive solo"
25,buen,no,6.0,"pre buen pagador",profesional,4716.0,hombre,"no vive solo"
26,buen,"bad running",11.0,"pre buen pagador",privado,4771.0,hombre,"no vive solo"
27,buen,no,12.0,"pre buen pagador",privado,652.0,mujer,"vive solo"
28,buen,"bad running",9.0,"pre buen pagador",privado,1154.0,hombre,"no vive solo"
29,buen,"good running",15.0,"pre buen pagador",profesional,3556.0,hombre,"no vive solo"
30,buen,"bad running",42.0,"pre buen pagador",privado,4796.0,hombre,"no vive solo"
31,buen,"bad running",30.0,"pre buen pagador",privado,3017.0,hombre,"no vive solo"
32,buen,"good running",36.0,"pre buen pagador",profesional,3535.0,hombre,"no vive solo"
33,buen,"good running",36.0,"pre buen pagador",profesional,6614.0,hombre,"no vive solo"
34,buen,"good running",24.0,"pre buen pagador",privado,1376.0,mujer,"vive solo"
35,buen,no,15.0,"pre buen pagador",profesional,1721.0,hombre,"no vive solo"
36,buen,no,6.0,"pre buen pagador",profesional,860.0,mujer,"vive solo"
37,buen,"good running",12.0,"pre buen pagador",profesional,1495.0,hombre,"no vive solo"
38,buen,"good running",12.0,"pre buen pagador",privado,1934.0,hombre,"no vive solo"
39,buen,"good running",18.0,"pre buen pagador",privado,3378.0,hombre,"no vive solo"
40,buen,"good running",24.0,"pre buen pagador",privado,3868.0,mujer,"vive solo"
41,buen,"good running",12.0,"pre buen pagador",privado,996.0,mujer,"vive solo"
42,buen,no,24.0,"pre buen pagador",profesional,1755.0,mujer,"vive solo"
43,buen,"good running",18.0,"pre buen pagador",profesional,1028.0,mujer,"vive solo"
44,buen,"bad running",24.0,"pre buen pagador",profesional,2825.0,hombre,"no vive solo"
45,buen,"bad running",18.0,"pre buen pagador",privado,1239.0,hombre,"no vive solo"
46,mal,no,18.0,"pre buen pagador",profesional,1216.0,mujer,"vive solo"
47,buen,"good running",24.0,"pre buen pagador",profesional,1258.0,hombre,"no vive solo"
48,mal,"good running",18.0,"pre buen pagador",privado,1864.0,mujer,"vive solo"
49,buen,"good running",24.0,"pre buen pagador",profesional,1474.0,mujer,"no vive solo"
50,buen,no,24.0,"pre buen pagador",profesional,1382.0,hombre,"no vive solo"
51,buen,"good running",12.0,"pre buen pagador",profesional,640.0,hombre,"vive solo"
52,buen,"bad running",36.0,"pre buen pagador",privado,3919.0,hombre,"no vive solo"
53,buen,"good running",9.0,"pre buen pagador",profesional,1224.0,hombre,"no vive solo"
54,buen,"good running",12.0,"pre buen pagador",privado,2331.0,hombre,"no vive solo"
55,buen,"good running",24.0,"pre buen pagador",privado,6313.0,hombre,"no vive solo"
