"Plan_Inter" "Min_dia" "LLam_dia" "Min_Inter" "N_Reclam" "Llam_Inter" "Flag_Fuga"
"1" "no" 137.6 113 10.7 1 2 "yes"
"2" "yes" 158.7 112 8.3 2 1 "yes"
"3" "no" 258.3 76 13.6 1 4 "yes"
"4" "no" 307.2 65 10.2 2 4 "yes"
"5" "no" 208.4 102 10.1 1 8 "yes"
"6" "no" 304.6 56 12.4 1 1 "yes"
"7" "no" 160.6 110 7.3 0 2 "yes"
"8" "no" 144.5 119 6.1 5 4 "yes"
"9" "no" 253.2 95 9.5 5 4 "yes"
"10" "yes" 160.5 92 13.8 1 5 "yes"
"11" "no" 220.9 100 13.5 1 9 "yes"
"12" "no" 338.4 86 14.8 3 4 "yes"
"13" "yes" 244.2 147 15.4 2 3 "yes"
"14" "no" 272.4 112 10.9 1 5 "yes"
"15" "yes" 135.1 99 13.2 1 4 "yes"
"16" "no" 182.6 75 9.5 5 3 "yes"
"17" "no" 144.2 74 12.1 4 7 "yes"
"18" "no" 309.4 86 11.2 3 5 "yes"
"19" "no" 159.6 102 12.6 5 7 "yes"
"20" "yes" 176.8 89 13.1 1 5 "yes"
"21" "yes" 115.6 93 9.7 2 1 "yes"
"22" "no" 261.2 81 11.3 2 1 "yes"
"23" "yes" 300.4 113 11.9 2 3 "yes"
"24" "no" 214.4 112 14.8 0 3 "yes"
"25" "no" 302.6 83 10.4 1 7 "yes"
"26" "no" 195.2 123 9 5 5 "yes"
"27" "no" 119 119 9 2 6 "yes"
"28" "no" 129.8 106 8.3 4 4 "yes"
"29" "yes" 275.9 84 6.7 2 4 "yes"
"30" "no" 112.6 80 8.1 6 3 "yes"
"31" "no" 226.3 88 7.8 1 11 "yes"
"32" "yes" 199.7 121 11.1 6 4 "yes"
"33" "no" 156.8 100 11.2 1 10 "yes"
"34" "no" 221 94 10.1 1 5 "yes"
"35" "no" 294.3 83 5.8 2 7 "yes"
"36" "no" 290.5 119 8.6 2 6 "yes"
"37" "no" 183.2 112 9.2 1 5 "yes"
"38" "yes" 220.7 100 15 3 4 "yes"
"39" "no" 303 93 10.4 1 5 "yes"
"40" "yes" 324.3 107 12.8 1 7 "yes"
"41" "yes" 176.9 118 15.1 3 3 "yes"
"42" "no" 208.4 112 16.8 0 1 "yes"
"43" "no" 317.1 97 13.6 1 2 "yes"
"44" "no" 155.6 122 10.6 4 3 "yes"
"45" "no" 196.7 109 11 5 5 "yes"
"46" "no" 215.9 122 6.1 4 5 "yes"
"47" "no" 326.1 119 11 1 3 "yes"
"48" "no" 283.6 115 8.8 0 5 "yes"
"49" "no" 297.8 88 12 1 2 "yes"
"50" "no" 233.4 71 10.3 0 1 "yes"
"51" "no" 271 114 13.7 5 2 "yes"
"52" "no" 125.5 100 5.9 3 6 "yes"
"53" "no" 121.6 100 12.3 5 2 "yes"
"54" "no" 325.4 73 9.3 1 10 "yes"
"55" "no" 93.5 110 8.9 4 4 "yes"
"56" "no" 198.6 115 10.2 1 6 "yes"
"57" "no" 245.4 82 10.5 3 3 "yes"
"58" "yes" 147.6 126 8.1 0 7 "yes"
"59" "no" 189.4 109 11.2 1 4 "yes"
"60" "no" 270 58 7.8 1 6 "yes"
"61" "no" 304 141 7.2 0 4 "yes"
